id,text,user_id,user_screen_name,user_name,label,score
1305389523602472962,@YoWaybes Eww 😷 gonna need a mask for that thing it already got corona,1221168153008279552,LmaoNoxy,Noxy,NEGATIVE,0.9983586668968201
1305389500504272897,Great words by @supriya_sule from @NCPspeaks today in Indian temple of democracy that is Parliment. Sad to see news… https://t.co/3a6LBreapw,1267079862084227073,mannykapron,Manish kapruwan,NEGATIVE,0.9811617136001587
1305389495890653184,"Al die Corona, alleen maar voor een lagere snelheid. Review | The 5G lie: The network of the future is still slow https://t.co/Y3bNo9YWYi",14183892,hoxha,hoxma,NEGATIVE,0.9994091987609863
1305389473195122688,"👉Increasing Corona Cases
👉 Unemployment
👉Falling GDP
👉Farm ordinance
👉India-China Border tension

5 Problems one So… https://t.co/Z1IMaf60eL",2186187964,Ranveer_Chelsea,RANVEER,NEGATIVE,0.9956721067428589
1305389472163540992,"@realDonaldTrump Donald Trump has already proven hat he cannot handle the Corona pandemic, Biden has to be given a… https://t.co/J5yu7FqiKS",3108330785,wizzzzdoom,Hussein Barrak Obama,NEGATIVE,0.99793541431427
1305389465494380544,@GOPChairwoman U know who’s President right?! Or RU talking about dragging Obama’s&amp; Biden thru t/mud 4 t/12k people… https://t.co/5fRKtg0dse,802259727329525760,ImMomentary,Sagapo,NEGATIVE,0.9945348501205444
1305389445189963776,"You wonder why some people have started hating masks???
Corona is real outside there.
Others say only for fools.
Wh… https://t.co/nmUUYBi7Lo",1241706530501734402,Diane1Peace,@Peace Diane 1,NEGATIVE,0.9946582913398743
1305389414709948416,@AshleyTheUni 1. I would wish for my dog Eddie the miniature schnauzer to come back to life he died last month at t… https://t.co/deS9e8u3vt,1215666575426179072,MissCoolGamer1,MissCoolGamer,NEGATIVE,0.9884194135665894
1305389413912817666,How this fellas has recovered from corona in a short span of time?? https://t.co/ke8mkJH4j6,890191711,Nagen97,Nagen,NEGATIVE,0.998305082321167
1305389401682239488,"Creation of corona in the laboratory: Chinese virologist claims proof of Chinese cruelty!
Dr.Lee-Meng https://t.co/Vd5rI8lx4M",841342494969331712,SanJay36518166,Sanjay Ramachandra,NEGATIVE,0.9936417937278748
1305389394015129602,@TheBadAtheist that’s what amit shah did to beat corona 😤✊🏽👏🏽,891395137653407745,anainamous,nae nae,POSITIVE,0.9829760193824768
